filtered,baseline
1.0,0.9612433886311533
1.0,0.9341661100781631
1.0,0.9341661100781631
1.0,0.9406646569308807
1.0,0.9883206671841435
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.9883206671841435
1.0,1.028936585013629
1.0,1.0695525028431143
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.041347004350416
1.0,1.1000144412152284
1.0,1.1440150188638374
1.0,1.1293481596476345
1.0,1.1586818780800405
1.0,1.1440150188638374
1.0,1.1000144412152284
1.0,1.0853475819990253
1.0,1.0853475819990253
1.0,1.1000144412152284
1.0,1.0853475819990253
1.0,1.041347004350416
1.0,1.0853475819990253
1.0,1.0853475819990253
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0706807227828221
1.0,1.1000144412152284
1.0,1.1586818780800405
1.0,1.1146813004314313
1.0,1.1217213928552088
1.0,1.1293481596476345
1.0,1.1586818780800405
1.0,1.1440150188638374
1.0,1.1000144412152284
1.0,1.1293481596476345
1.0,1.1293481596476345
1.0,1.1586818780800405
1.0,1.1293481596476345
1.0,1.1146813004314313
1.0,1.1293481596476345
1.0,1.136388252071412
1.0,1.1146813004314313
1.0,1.0706807227828221
1.0,1.0853475819990253
1.0,1.0560138635666192
1.0,1.0630539559903966
1.0,1.041347004350416
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0483870967741937
1.0,1.0266801451342131
1.0,1.0266801451342131
1.0,1.0190533783417877
1.0,1.0266801451342131
1.0,0.997346426701807
1.0,0.9568658952650865
1.0,0.9680127082694009
1.0,0.9826795674856039
1.0,0.9897196599093815
1.0,1.0560138635666192
1.0,1.01201328591801
1.0,1.0266801451342131
1.0,0.997346426701807
1.0,1.01201328591801
1.0,1.0266801451342131
1.0,1.0266801451342131
1.0,0.997346426701807
1.0,0.997346426701807
1.0,1.0266801451342131
1.0,1.01201328591801
1.0,0.997346426701807
1.0,0.997346426701807
1.0,1.0853475819990253
1.0,1.0560138635666192
1.0,1.0853475819990253
1.0,1.0706807227828221
1.0,1.0706807227828221
1.0,1.0266801451342131
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0266801451342131
